timestamp,symbol,order_id,side,price,quantity,msg_type
1970-01-01 00:00:00.239670711,RELIANCE,100001,B,1360.00,9610,A
1970-01-01 00:00:00.149827706,RELIANCE,100002,S,1360.20,7316,A
1970-01-01 00:00:00.957970516,RELIANCE,100003,B,1359.95,6444,A
1970-01-01 00:00:00.585582861,RELIANCE,100004,S,1360.25,1730,A
1970-01-01 00:00:00.031994523,RELIANCE,100005,B,1359.90,9963,A
1970-01-01 00:00:00.100604502,RELIANCE,100006,S,1360.30,8756,A
1970-01-01 00:00:00.585126461,RELIANCE,100007,B,1359.85,500,A
1970-01-01 00:00:01.171432881,RELIANCE,100004,S,1360.25,1730,D
1970-01-01 00:00:01.369319644,RELIANCE,100001,B,1360.00,9610,D
1970-01-01 00:00:01.314797776,RELIANCE,100006,S,1360.30,8756,D
1970-01-01 00:00:01.085675980,RELIANCE,100003,B,1359.95,3248,E
1970-01-01 00:00:01.381469012,RELIANCE,100008,S,1360.25,500,A
1970-01-01 00:00:02.175452091,RELIANCE,100009,S,1360.20,500,A
1970-01-01 00:00:02.348195935,RELIANCE,100002,S,1360.20,7316,D
1970-01-01 00:00:03.609004943,RELIANCE,100009,S,1360.20,185,E
1970-01-01 00:00:03.149926919,RELIANCE,100010,B,1359.75,500,A
1970-01-01 00:00:03.148532577,RELIANCE,100011,S,1360.35,500,A
1970-01-01 00:00:03.171779360,RELIANCE,100009,S,1360.20,315,D
1970-01-01 00:00:03.594021782,RELIANCE,100003,B,1359.95,2378,E
1970-01-01 00:00:04.825276600,RELIANCE,100008,S,1360.25,500,D
1970-01-01 00:00:05.537500247,RELIANCE,100003,B,1359.95,818,D
1970-01-01 00:00:05.164109919,RELIANCE,100012,S,1360.25,500,A
1970-01-01 00:00:05.120117054,RELIANCE,100012,S,1360.25,195,E
1970-01-01 00:00:05.521828280,RELIANCE,100011,S,1360.35,500,D
1970-01-01 00:00:06.227416584,RELIANCE,100012,S,1360.25,234,E
1970-01-01 00:00:06.555742829,RELIANCE,100013,S,1360.10,500,A
1970-01-01 00:00:06.007721109,RELIANCE,100014,B,1359.70,500,A
1970-01-01 00:00:07.076082500,RELIANCE,100015,B,1359.75,500,A
1970-01-01 00:00:08.618702544,RELIANCE,100016,S,1360.05,500,A
1970-01-01 00:00:08.707577342,RELIANCE,100017,S,1360.05,500,A
1970-01-01 00:00:08.432311310,RELIANCE,100005,B,1359.90,9963,D
1970-01-01 00:00:09.452991960,RELIANCE,100018,B,1359.55,500,A
1970-01-01 00:00:09.054318806,RELIANCE,100018,B,1359.55,500,D
1970-01-01 00:00:09.521453189,RELIANCE,100019,S,1359.95,500,A
1970-01-01 00:00:09.841889393,RELIANCE,100016,S,1360.05,500,D
1970-01-01 00:00:10.522559454,RELIANCE,100020,S,1360.05,500,A
1970-01-01 00:00:10.061380746,RELIANCE,100021,B,1359.60,500,A
1970-01-01 00:00:10.545276696,RELIANCE,100022,S,1360.05,500,A
1970-01-01 00:00:10.955938726,RELIANCE,100023,B,1359.65,500,A
1970-01-01 00:00:10.705849060,RELIANCE,100024,S,1360.05,500,A
1970-01-01 00:00:11.424971817,RELIANCE,100025,B,1359.45,500,A
1970-01-01 00:00:11.666964667,RELIANCE,100007,B,1359.85,60,X
1970-01-01 00:00:12.396776692,RELIANCE,100026,S,1359.85,500,A
1970-01-01 00:00:12.866616964,RELIANCE,100012,S,1360.25,71,D
1970-01-01 00:00:12.114929002,RELIANCE,100010,B,1359.75,500,D
1970-01-01 00:00:13.218610946,RELIANCE,100015,B,1359.75,500,D
1970-01-01 00:00:13.003807155,RELIANCE,100027,B,1359.45,500,A
1970-01-01 00:00:13.474417266,RELIANCE,100028,S,1359.80,500,A
1970-01-01 00:00:14.585823118,RELIANCE,100029,S,1359.75,500,A
1970-01-01 00:00:14.044913399,RELIANCE,100030,S,1359.80,500,A
1970-01-01 00:00:14.601170349,RELIANCE,100026,S,1359.85,489,E
1970-01-01 00:00:15.858872154,RELIANCE,100026,S,1359.85,11,D
1970-01-01 00:00:16.789262019,RELIANCE,100021,B,1359.60,500,D
1970-01-01 00:00:16.041580226,RELIANCE,100020,S,1360.05,179,E
1970-01-01 00:00:16.299147754,RELIANCE,100023,B,1359.65,240,E
1970-01-01 00:00:16.029635852,RELIANCE,100031,B,1359.20,500,A
1970-01-01 00:00:17.844420824,RELIANCE,100032,B,1359.30,500,A
1970-01-01 00:00:17.619106699,RELIANCE,100033,S,1359.70,500,A
1970-01-01 00:00:17.796662826,RELIANCE,100020,S,1360.05,321,D
1970-01-01 00:00:18.712306873,RELIANCE,100031,B,1359.20,500,D
1970-01-01 00:00:18.205986733,RELIANCE,100034,S,1359.75,500,A
1970-01-01 00:00:19.323142470,RELIANCE,100035,S,1359.65,500,A
1970-01-01 00:00:19.499277266,RELIANCE,100036,B,1359.30,500,A
1970-01-01 00:00:19.304713332,RELIANCE,100037,S,1359.60,500,A
1970-01-01 00:00:20.026226563,RELIANCE,100038,B,1359.20,500,A
1970-01-01 00:00:20.951482263,RELIANCE,100022,S,1360.05,500,D
1970-01-01 00:00:21.923891022,RELIANCE,100014,B,1359.70,500,D
1970-01-01 00:00:21.598509918,RELIANCE,100039,B,1359.10,500,A
